2,2,2,10
5,5,5,16
4,4,4,15
3,3,3,12
4,4,4,14
2,2,2,10
3,3,3,12
1,1,1,8
1,1,2,9
2,2,2,10
4,4,3,13
1,1,1,7
3,3,3,13
2,2,2,11
2,2,2,11
3,2,2,11
4,4,4,15
0,0,0,5
2,1,2,9
1,1,1,9
5,5,6,17
6,6,6,17
0,0,0,2
3,3,3,12
3,3,3,12
4,4,4,15
5,5,5,16
6,6,6,17
6,6,7,20
3,3,3,12
1,1,2,9
3,3,2,11
2,2,2,10
2,2,2,11
1,0,1,7
4,4,4,14
2,2,2,10
2,2,2,11
3,3,3,13
3,3,2,11
3,3,2,11
4,4,4,14
1,1,2,9
3,3,2,11
3,3,3,13
3,3,3,12
1,1,1,8
5,5,5,17
4,5,4,16
3,3,3,12
4,4,4,14
6,6,7,18
7,6,7,20
4,4,4,14
2,2,2,11
4,5,5,16
1,1,1,9
4,4,4,16
3,3,3,12
4,4,4,15
3,3,2,11
4,4,4,15
3,3,3,12
4,4,4,14
0,0,0,5
2,2,2,10
1,1,2,9
6,6,6,18
2,2,2,10
4,4,4,16
4,5,5,16
5,5,6,17
3,3,2,11
3,3,2,12
2,1,2,9
6,6,6,18
3,3,3,12
2,2,2,11
3,3,3,12
2,2,2,10
4,4,3,13
4,4,4,16
6,6,7,18
3,4,3,13
3,3,3,13
2,2,2,10
1,1,1,8
6,6,6,18
2,2,2,10
4,4,3,13
3,4,3,13
6,5,6,17
1,1,1,8
4,4,4,15
3,3,3,13
3,3,3,13
4,4,4,15
5,5,5,16
4,4,4,16
3,3,3,13
5,5,6,17
2,2,2,10
4,5,5,16
3,3,2,11
1,1,1,8
3,3,3,12
1,1,1,7
3,3,3,13
1,1,1,7
3,3,2,11
1,1,1,8
4,4,4,14
4,4,4,14
3,3,2,11
7,7,8,21
3,3,2,11
2,2,2,10
1,1,1,7
2,2,2,10
4,4,4,14
1,1,2,9
2,2,2,10
5,5,5,16
4,4,4,15
