8,8,8,28
7,7,7,27
8,9,8,29
4,3,4,20
9,9,9,30
6,6,6,25
4,3,4,20
8,8,7,28
11,11,12,35
7,8,7,27
7,7,7,26
8,9,8,29
6,7,6,25
7,7,7,27
9,10,10,31
0,0,2,4
5,5,5,22
8,8,7,28
5,5,5,21
7,7,7,26
5,5,5,22
6,6,6,25
7,7,7,26
9,9,9,30
3,2,3,18
4,4,4,20
9,9,9,30
9,9,9,30
5,5,5,23
1,1,2,15
6,6,6,24
1,1,2,16
9,9,9,30
4,4,4,21
4,3,4,20
3,2,3,17
10,10,10,33
6,7,6,25
3,3,3,19
8,8,8,28
5,5,5,22
12,12,12,35
5,5,5,23
7,7,7,26
3,2,3,18
4,3,4,19
2,2,2,16
2,2,2,16
3,3,3,19
4,3,4,19
3,2,2,17
5,6,5,23
5,4,4,21
4,3,4,20
5,4,4,21
13,13,12,38
5,5,5,22
5,5,5,23
5,4,4,21
6,6,6,25
6,6,6,24
5,5,5,21
7,8,7,27
4,4,4,21
5,5,5,22
5,4,5,21
7,8,7,27
7,7,7,26
3,2,3,17
4,4,4,21
6,6,6,24
8,8,8,28
8,8,7,28
8,9,8,29
6,7,7,25
8,8,8,28
6,6,6,24
5,5,5,23
5,5,5,23
11,10,11,34
9,10,10,32
6,6,6,25
4,3,3,19
7,8,7,27
12,12,12,37
7,8,7,27
6,6,5,24
13,13,12,39
4,3,4,19
4,3,4,20
8,8,7,28
6,6,6,25
8,8,8,28
6,7,7,26
6,7,7,25
4,3,3,19
8,9,8,29
5,4,5,21
3,2,3,18
8,8,8,29
10,10,10,32
6,7,7,26
6,6,6,24
3,2,3,19
5,5,5,23
7,8,7,27
5,5,5,22
4,4,4,21
7,7,7,27
4,3,4,20
6,6,6,24
6,7,6,25
9,10,9,31
9,10,10,31
10,10,11,34
4,4,4,20
6,6,6,24
6,6,6,24
7,8,7,27
8,8,8,29
8,8,8,28
6,7,6,25
7,7,7,26
6,6,6,25
6,6,6,24
